id,employee_id,clock_in,clock_out,date,duration_hours,status,notes,created_at,updated_at,location_id,location_name,export_timestamp
4,2,2025-07-13 09:10:00.000000,2025-07-13 17:45:00.000000,2025-07-13 00:00:00.000000,,completed,,2025-07-13 20:06:31.436415,2025-07-13 20:06:31.436420,1,Main Office,2025-08-06T10:22:21.149954
5,2,2025-07-12 09:10:00.000000,2025-07-12 17:45:00.000000,2025-07-12 00:00:00.000000,,completed,,2025-07-13 20:06:31.443605,2025-07-13 20:06:31.443608,1,Main Office,2025-08-06T10:22:21.149954
6,2,2025-07-11 09:10:00.000000,2025-07-11 17:45:00.000000,2025-07-11 00:00:00.000000,,completed,,2025-07-13 20:06:31.450823,2025-07-13 20:06:31.450828,1,Main Office,2025-08-06T10:22:21.149954
7,3,2025-07-13 09:20:00.000000,2025-07-13 18:00:00.000000,2025-07-13 00:00:00.000000,,completed,,2025-07-13 20:06:31.456897,2025-07-13 20:06:31.456901,1,Main Office,2025-08-06T10:22:21.149954
8,3,2025-07-12 09:20:00.000000,2025-07-12 18:00:00.000000,2025-07-12 00:00:00.000000,,completed,,2025-07-13 20:06:31.463827,2025-07-13 20:06:31.463831,1,Main Office,2025-08-06T10:22:21.149954
9,3,2025-07-11 09:20:00.000000,2025-07-11 18:00:00.000000,2025-07-11 00:00:00.000000,,completed,,2025-07-13 20:06:31.469730,2025-07-13 20:06:31.469735,1,Main Office,2025-08-06T10:22:21.149954
20,6,2025-07-11 08:52:00.000000,2025-07-11 16:32:00.000000,2025-07-11 00:00:00.000000,,completed,,2025-07-13 20:09:57.683258,2025-07-13 20:09:57.683267,1,Main Office,2025-08-06T10:22:21.149954
21,6,2025-07-10 08:32:00.000000,2025-07-10 17:22:00.000000,2025-07-10 00:00:00.000000,,completed,,2025-07-13 20:09:57.697955,2025-07-13 20:09:57.697964,1,Main Office,2025-08-06T10:22:21.149954
22,6,2025-07-09 08:34:00.000000,2025-07-09 17:20:00.000000,2025-07-09 00:00:00.000000,,completed,,2025-07-13 20:09:57.712949,2025-07-13 20:09:57.712957,1,Main Office,2025-08-06T10:22:21.149954
23,6,2025-07-08 08:18:00.000000,2025-07-08 17:30:00.000000,2025-07-08 00:00:00.000000,,completed,,2025-07-13 20:09:57.728225,2025-07-13 20:09:57.728233,1,Main Office,2025-08-06T10:22:21.149954
24,6,2025-07-07 08:52:00.000000,2025-07-07 16:45:00.000000,2025-07-07 00:00:00.000000,,completed,,2025-07-13 20:09:57.738729,2025-07-13 20:09:57.738738,1,Main Office,2025-08-06T10:22:21.149954
25,7,2025-07-11 08:07:00.000000,2025-07-11 17:02:00.000000,2025-07-11 00:00:00.000000,,completed,,2025-07-13 20:09:57.749416,2025-07-13 20:09:57.749424,1,Main Office,2025-08-06T10:22:21.149954
26,7,2025-07-10 08:18:00.000000,2025-07-10 17:29:00.000000,2025-07-10 00:00:00.000000,,completed,,2025-07-13 20:09:57.764176,2025-07-13 20:09:57.764185,1,Main Office,2025-08-06T10:22:21.149954
27,7,2025-07-09 08:13:00.000000,2025-07-09 16:51:00.000000,2025-07-09 00:00:00.000000,,completed,,2025-07-13 20:09:57.778587,2025-07-13 20:09:57.778595,1,Main Office,2025-08-06T10:22:21.149954
28,7,2025-07-08 08:22:00.000000,2025-07-08 16:45:00.000000,2025-07-08 00:00:00.000000,,completed,,2025-07-13 20:09:57.792776,2025-07-13 20:09:57.792785,1,Main Office,2025-08-06T10:22:21.149954
