id,employee_id,clock_in,clock_out,date,duration_hours,status,notes,created_at,updated_at,location_id,location_name,export_timestamp
15,5,2025-07-11 08:36:00.000000,2025-07-11 17:05:00.000000,2025-07-11 00:00:00.000000,,completed,,2025-07-13 20:09:57.610647,2025-07-13 20:09:57.610656,2,Branch Office,2025-08-06T10:22:21.157794
16,5,2025-07-10 08:24:00.000000,,2025-07-10 00:00:00.000000,,active,,2025-07-13 20:09:57.623357,2025-07-13 20:09:57.623365,2,Branch Office,2025-08-06T10:22:21.157794
17,5,2025-07-09 08:11:00.000000,2025-07-09 16:48:00.000000,2025-07-09 00:00:00.000000,,completed,,2025-07-13 20:09:57.640144,2025-07-13 20:09:57.640154,2,Branch Office,2025-08-06T10:22:21.157794
18,5,2025-07-08 08:33:00.000000,2025-07-08 17:18:00.000000,2025-07-08 00:00:00.000000,,completed,,2025-07-13 20:09:57.652707,2025-07-13 20:09:57.652719,2,Branch Office,2025-08-06T10:22:21.157794
19,5,2025-07-07 08:31:00.000000,2025-07-07 16:30:00.000000,2025-07-07 00:00:00.000000,,completed,,2025-07-13 20:09:57.669239,2025-07-13 20:09:57.669252,2,Branch Office,2025-08-06T10:22:21.157794
51,5,2025-07-31 09:00:00.000000,2025-07-31 16:36:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-07-31 18:53:17.002233,2025-07-31 18:53:17.002237,2,Branch Office,2025-08-06T10:22:21.157794
52,5,2025-07-30 08:38:00.000000,2025-07-30 17:18:00.000000,2025-07-30 00:00:00.000000,,completed,,2025-07-31 18:53:17.011306,2025-07-31 18:53:17.011310,2,Branch Office,2025-08-06T10:22:21.157794
53,5,2025-07-29 08:16:00.000000,,2025-07-29 00:00:00.000000,,active,,2025-07-31 18:53:17.019992,2025-07-31 18:53:17.019996,2,Branch Office,2025-08-06T10:22:21.157794
54,5,2025-07-28 08:58:00.000000,2025-07-28 16:44:00.000000,2025-07-28 00:00:00.000000,,completed,,2025-07-31 18:53:17.028672,2025-07-31 18:53:17.028680,2,Branch Office,2025-08-06T10:22:21.157794
55,5,2025-07-25 08:11:00.000000,2025-07-25 16:31:00.000000,2025-07-25 00:00:00.000000,,completed,,2025-07-31 18:53:17.037310,2025-07-31 18:53:17.037314,2,Branch Office,2025-08-06T10:22:21.157794
74,5,2025-08-04 08:37:00.000000,2025-08-04 17:30:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:52:26.980014,2025-08-04 18:52:26.980017,2,Branch Office,2025-08-06T10:22:21.157794
75,5,2025-08-01 08:45:00.000000,2025-08-01 17:30:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:52:26.988393,2025-08-04 18:52:26.988397,2,Branch Office,2025-08-06T10:22:21.157794
96,5,2025-08-03 10:43:00.000000,2025-08-03 16:15:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:53:31.782935,2025-08-04 18:53:31.782941,2,Branch Office,2025-08-06T10:22:21.157794
97,5,2025-08-02 08:38:00.000000,2025-08-02 17:29:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:53:31.792818,2025-08-04 18:53:31.792820,2,Branch Office,2025-08-06T10:22:21.157794
142,16,2025-08-04 10:52:00.000000,2025-08-04 18:05:00.000000,2025-08-04 00:00:00.000000,,completed,,2025-08-04 18:57:38.834189,2025-08-04 18:57:38.834192,2,Branch Office,2025-08-06T10:22:21.157794
143,16,2025-08-03 10:07:00.000000,2025-08-03 17:25:00.000000,2025-08-03 00:00:00.000000,,completed,,2025-08-04 18:57:38.842660,2025-08-04 18:57:38.842664,2,Branch Office,2025-08-06T10:22:21.157794
144,16,2025-08-02 08:46:00.000000,2025-08-02 16:36:00.000000,2025-08-02 00:00:00.000000,,completed,,2025-08-04 18:57:38.850611,2025-08-04 18:57:38.850615,2,Branch Office,2025-08-06T10:22:21.157794
145,16,2025-08-01 08:53:00.000000,2025-08-01 18:50:00.000000,2025-08-01 00:00:00.000000,,completed,,2025-08-04 18:57:38.858615,2025-08-04 18:57:38.858618,2,Branch Office,2025-08-06T10:22:21.157794
146,16,2025-07-31 10:31:00.000000,2025-07-31 16:58:00.000000,2025-07-31 00:00:00.000000,,completed,,2025-08-04 18:57:38.867004,2025-08-04 18:57:38.867007,2,Branch Office,2025-08-06T10:22:21.157794
147,16,2025-07-30 10:51:00.000000,2025-07-30 14:43:00.000000,2025-07-30 00:00:00.000000,,completed,,2025-08-04 18:57:38.875040,2025-08-04 18:57:38.875062,2,Branch Office,2025-08-06T10:22:21.157794
158,5,2025-08-05 08:13:00.000000,2025-08-05 16:40:00.000000,2025-08-05 00:00:00.000000,,completed,,2025-08-05 17:19:03.859582,2025-08-05 17:19:03.859584,2,Branch Office,2025-08-06T10:22:21.157794
